goos: windows
goarch: amd64
pkg: github.com/Madhavkannank/fafa/tests/port
cpu: Intel(R) Core(TM) 5 210H
BenchmarkToStringDec3Limbs-12    	  685435	      1748 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  752143	      1740 ns/op	    1192 B/op	      71 allocs/op
BenchmarkToStringDec3Limbs-12    	  695900	      1729 ns/op	    1192 B/op	      71 allocs/op
BenchmarkAsIntN-12               	31491847	        36.28 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	29020695	        36.54 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	32695081	        36.82 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	31667616	        36.48 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	31237552	        36.36 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	28915174	        36.81 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	28676438	        36.50 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	32307741	        36.71 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	31703926	        36.89 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsIntN-12               	38271163	        36.94 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	35935028	        34.47 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	39149157	        34.56 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	35121710	        34.58 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	29108620	        35.09 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	35234736	        34.35 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	34008495	        34.56 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	38216438	        34.79 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	38444287	        34.12 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	32341788	        34.34 ns/op	      40 B/op	       2 allocs/op
BenchmarkAsUintN-12              	40059822	        34.03 ns/op	      40 B/op	       2 allocs/op
PASS
ok  	github.com/Madhavkannank/fafa/tests/port	242.631s
